Título;Downloads;URL
The Lost World;20284 downloads;https://www.gutenberg.org/ebooks/139
The Power of Mesmerism;20280 downloads;https://www.gutenberg.org/ebooks/28521
Studies in the Psychology of Sex, Volume 4;20271 downloads;https://www.gutenberg.org/ebooks/13613
Drei Abhandlungen zur Sexualtheorie (German);20246 downloads;https://www.gutenberg.org/ebooks/39938
Max und Moritz: Eine Bubengeschichte in sieben Streichen (German);20205 downloads;https://www.gutenberg.org/ebooks/17161
The Battle of the Books, and other Short Pieces;20161 downloads;https://www.gutenberg.org/ebooks/623
Thus Spake Zarathustra: A Book for All and None;20143 downloads;https://www.gutenberg.org/ebooks/1998
The Colors of Space;20130 downloads;https://www.gutenberg.org/ebooks/20796
The Wind in the Willows;20101 downloads;https://www.gutenberg.org/ebooks/27805
Ethan Frome;20082 downloads;https://www.gutenberg.org/ebooks/4517
Tobogganing on Parnassus;20047 downloads;https://www.gutenberg.org/ebooks/6122
The Grand Inquisitor;20028 downloads;https://www.gutenberg.org/ebooks/8578
The Lani People;20020 downloads;https://www.gutenberg.org/ebooks/2509
Confidential Chats with Girls;20014 downloads;https://www.gutenberg.org/ebooks/57551
Herland;19963 downloads;https://www.gutenberg.org/ebooks/32
Cyrano de Bergerac;19921 downloads;https://www.gutenberg.org/ebooks/1254
Star Hunter;19908 downloads;https://www.gutenberg.org/ebooks/19090
The Republic;19866 downloads;https://www.gutenberg.org/ebooks/1497
The miniature menace;19833 downloads;https://www.gutenberg.org/ebooks/70403
First Lensman;19830 downloads;https://www.gutenberg.org/ebooks/49525
Walden, and On The Duty Of Civil Disobedience;19787 downloads;https://www.gutenberg.org/ebooks/205
"L'escole des filles (French)";19766 downloads;https://www.gutenberg.org/ebooks/44877
Studies in the Psychology of Sex, Volume 2;19762 downloads;https://www.gutenberg.org/ebooks/13611
Astounding Stories of Super-Science, December 1930;19656 downloads;https://www.gutenberg.org/ebooks/30691
The Vilbar Party;19635 downloads;https://www.gutenberg.org/ebooks/31626
Les Misérables;19484 downloads;https://www.gutenberg.org/ebooks/135
Der Marquis de Sade und seine Zeit. (German);19431 downloads;https://www.gutenberg.org/ebooks/68400
A World is Born;19425 downloads;https://www.gutenberg.org/ebooks/22544
My Fair Planet;19420 downloads;https://www.gutenberg.org/ebooks/31648
"The Lovers Assistant; Or, New Art of Love";19413 downloads;https://www.gutenberg.org/ebooks/31036
Longevity;19346 downloads;https://www.gutenberg.org/ebooks/24928
Collector's Item;19187 downloads;https://www.gutenberg.org/ebooks/31686
Josefine Mutzenbacher (German);19142 downloads;https://www.gutenberg.org/ebooks/31284
Anna Karenina;19077 downloads;https://www.gutenberg.org/ebooks/1399
An Essay on Laughter: Its Forms, Its Causes, Its Development and Its Value;19055 downloads;https://www.gutenberg.org/ebooks/58606
The Green Mummy;19033 downloads;https://www.gutenberg.org/ebooks/2868
